scene,time,scene_type,scene_type_confidence,classification_reliable,M,A,O,F,EI,level,audio_mood,audio_emotion,audio_confidence,audio_emotion_raw_score,camera_angle,face_emotion,face_found,objects,tempo_bpm,mfcc_mean,spectral_centroid,fusion_confidence
74,01:37.31-01:38.10,Comedy,0.9074,True,0.2794,1.0,0.4465,0.0,0.49,Medium,intense,happy,0.4375,0.4375,right,unknown,False,"person, tie",136.0,7.9363,2205.08,0.9074
75,01:38.10-01:38.64,Emotional,0.5049,True,0.0212,0.3133,0.3767,0.523,0.26,Low,suspense,happy,0.5172,0.5172,front,neutral,True,person,136.0,-3.3181,1546.67,0.5049
76,01:38.64-01:39.47,Emotional,0.9321,True,0.0439,0.3457,0.3759,0.9796,0.34,Low,suspense,happy,0.5294,0.5294,right,happy,True,person,136.0,-4.3444,2255.41,0.9321
77,01:39.47-01:41.02,Romance,0.4344,True,0.0574,0.5286,0.4951,0.9912,0.43,Medium,suspense,happy,0.375,0.375,right,happy,True,"person, tie",136.0,-0.2604,1737.39,0.4344
78,01:41.02-01:43.69,Emotional,0.8653,True,0.3039,0.1308,0.6214,0.714,0.38,Low,suspense,happy,0.2571,0.2571,right,neutral,True,"person, refrigerator, tennis racket",136.0,-14.5906,1889.58,0.8653
79,01:43.69-01:44.56,Comedy,0.7306,True,0.0656,1.0,0.5458,0.0,0.43,Medium,intense,angry,0.3409,0.3409,right,unknown,False,"cell phone, person",136.0,9.8219,2647.38,0.7306
80,01:44.56-01:45.48,Comedy,0.5749,True,0.2524,1.0,0.6047,0.8609,0.64,Medium,intense,angry,0.3958,0.3958,right,happy,True,"cat, cell phone, person",136.0,11.4755,2970.6,0.5749
81,01:45.48-01:46.73,Comedy,0.5747,True,0.0244,0.9191,0.9191,1.0,0.62,Medium,intense,angry,0.3409,0.3409,right,sad,True,"airplane, person",136.0,6.0286,2679.22,0.5747
82,01:46.73-01:50.49,Romance,0.4342,True,0.1655,0.139,0.3785,1.0,0.33,Low,suspense,happy,0.2264,0.2264,right,happy,True,person,172.27,-20.0341,2890.87,0.4342
83,01:50.49-01:52.78,Comedy,0.8819,True,0.1944,0.8288,0.0,0.0,0.32,Low,intense,angry,0.3409,0.3409,left,unknown,False,,136.0,3.8517,2562.41,0.8819
84,01:52.78-01:53.91,Romance,0.8517,True,0.0294,0.4259,0.486,0.0,0.24,Low,suspense,happy,0.4167,0.4167,right,unknown,False,"cell phone, person",136.0,-3.8588,1991.82,0.8517
85,01:53.91-01:55.37,Unknown,0.3424,False,0.1431,0.3688,0.3467,0.0,0.23,Low,suspense,happy,0.4286,0.4286,left,unknown,False,person,136.0,-4.3059,2708.51,0.3424
86,01:55.37-01:56.99,Comedy,0.6476,True,0.337,0.2524,0.3768,0.7697,0.38,Low,suspense,happy,0.4737,0.4737,right,angry,True,person,136.0,-4.7529,2793.25,0.6476
87,01:56.99-01:58.20,Emotional,0.6653,True,0.0646,0.3439,0.374,0.9684,0.35,Low,suspense,happy,0.5172,0.5172,left,neutral,True,person,136.0,-3.7224,2164.3,0.6653
88,01:58.20-01:59.08,Emotional,0.9391,True,0.1931,0.3286,0.3609,0.0,0.24,Low,suspense,happy,0.5294,0.5294,right,unknown,False,person,136.0,-4.8628,2367.24,0.9391
89,01:59.08-02:00.08,Emotional,0.8377,True,0.5414,0.3035,0.3651,0.7636,0.47,Medium,suspense,happy,0.6522,0.6522,right,neutral,True,person,136.0,-3.5762,2102.55,0.8377
90,02:00.08-02:07.50,Unknown,0.3726,False,0.3466,0.348,0.5084,0.0,0.33,Low,suspense,happy,0.3636,0.3636,right,unknown,False,"bottle, person",136.0,-10.9533,3245.06,0.3726
91,02:07.50-02:22.50,Emotional,0.9008,True,0.0026,0.0001,0.0,0.0,0.0,Low,suspense,sad,0.3889,0.3889,right,unknown,False,,117.45,-79.9963,38.09,0.9008
92,02:22.50-02:27.73,Emotional,0.9498,True,0.0003,0.0,0.0,0.0,0.0,Low,calm,sad,0.5556,0.5556,right,unknown,False,,0.0,-87.0285,0.0,0.9498
