scene,time,scene_type,scene_type_confidence,classification_reliable,M,A,O,F,EI,level,audio_mood,audio_emotion,audio_confidence,audio_emotion_raw_score,camera_angle,face_emotion,face_found,objects,tempo_bpm,mfcc_mean,spectral_centroid,fusion_confidence
98,01:57.78-01:58.74,Comedy,0.4949,True,0.3159,1.0,0.3662,0.9693,0.63,Medium,intense,angry,0.4062,0.4062,right,surprise,True,person,143.55,3.9416,1804.36,0.4949
99,01:58.74-01:59.62,Comedy,0.5438,True,0.0159,0.8028,0.3744,0.8737,0.45,Medium,intense,happy,0.3684,0.3684,right,sad,True,person,143.55,3.6279,2376.24,0.5438
100,01:59.62-02:00.45,Comedy,0.4898,True,0.0247,1.0,0.3774,0.7285,0.49,Medium,intense,angry,0.3824,0.3824,right,fear,True,person,143.55,3.9121,1954.25,0.4898
101,02:00.45-02:01.33,Comedy,0.8164,True,0.0956,1.0,0.3822,0.0,0.41,Medium,intense,angry,0.4062,0.4062,left,unknown,False,person,143.55,1.12,1975.19,0.8164
102,02:01.33-02:02.37,Comedy,0.5607,True,0.0976,1.0,0.3805,0.465,0.48,Medium,intense,angry,0.3714,0.3714,left,fear,True,person,143.55,3.1547,1769.79,0.5607
103,02:02.37-02:03.50,Comedy,0.8909,True,0.1295,1.0,0.0,0.0,0.35,Low,intense,happy,0.359,0.359,left,unknown,False,,143.55,11.072,2544.1,0.8909
104,02:03.50-02:04.75,Comedy,0.8888,True,0.8124,1.0,0.6765,0.3563,0.77,High,intense,happy,0.359,0.359,left,fear,True,"handbag, person, refrigerator",143.55,11.2253,2525.46,0.8888
105,02:04.75-02:05.88,Dialogue,0.8816,True,0.7172,1.0,0.6656,0.9983,0.83,High,intense,angry,0.4483,0.4483,right,happy,True,"bottle, oven, person",143.55,6.4119,2141.52,0.8816
106,02:05.88-02:06.92,Comedy,0.6969,True,0.018,0.7459,0.3735,0.9428,0.45,Medium,intense,angry,0.3409,0.3409,right,angry,True,person,143.55,-1.2184,2241.71,0.6969
107,02:06.92-02:08.09,Comedy,0.8829,True,0.0518,0.7838,0.3679,0.8852,0.46,Medium,intense,angry,0.375,0.375,right,neutral,True,person,143.55,1.0117,2310.23,0.8829
